last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Pujols, Albert,405395,2021,41,275,296,17,45,14,15.2,4.7,.236,.433,.284,.717,.256,.460,.302,.302,90.3,12,39.7,
Cabrera, Miguel,408234,2021,38,472,526,15,118,40,22.4,7.6,.256,.386,.316,.701,.234,.420,.305,.301,91.4,10,49,
Molina, Yadier,425877,2021,39,440,473,11,79,24,16.7,5.1,.252,.370,.296,.666,.255,.406,.290,.300,88,15.3,31.6,
Cruz Jr., Nelson,443558,2021,41,513,584,32,126,51,21.6,8.7,.265,.497,.332,.829,.265,.514,.346,.341,92.9,11.8,52.5,
Peralta, David,444482,2021,34,487,538,8,92,46,17.1,8.6,.259,.402,.325,.728,.243,.345,.314,.313,89.3,5.3,41.8,
Escobar, Alcides,444876,2021,35,319,349,4,56,17,16.0,4.9,.288,.404,.338,.742,.272,.364,.326,.326,81.7,11.1,21,
Longoria, Evan,446334,2021,36,253,291,13,68,35,23.4,12.0,.261,.482,.351,.833,.253,.487,.352,.344,94.1,15.5,54.5,
Cabrera, Asdrubal,452678,2021,36,309,352,7,80,36,22.7,10.2,.230,.366,.313,.678,.214,.331,.297,.302,87.8,14.5,30.9,
Blackmon, Charlie,453568,2021,35,514,582,13,91,54,15.6,9.3,.270,.411,.351,.761,.292,.457,.333,.370,87.6,10.2,38.5,
Maldonado, Martin,455117,2021,35,373,426,12,127,47,29.8,11.0,.172,.300,.272,.573,.183,.312,.258,.282,88,17.6,33.2,
Cain, Lorenzo,456715,2021,35,257,286,8,48,26,16.8,9.1,.257,.401,.329,.729,.254,.382,.319,.327,88.4,7.2,37.6,
Solano, Donovan,456781,2021,34,307,344,7,58,25,16.9,7.3,.280,.404,.343,.747,.275,.432,.324,.340,88.3,11,36.6,
McCutchen, Andrew,457705,2021,35,482,574,27,132,81,23.0,14.1,.222,.444,.334,.778,.240,.431,.335,.352,88.8,14.6,39.5,
Upton, Justin,457708,2021,34,318,362,17,107,39,29.6,10.8,.211,.409,.296,.704,.227,.432,.305,.313,90.1,15.6,41.6,
Turner, Justin,457759,2021,37,533,612,27,98,61,16.0,10.0,.278,.471,.361,.832,.270,.470,.358,.358,90.9,19.2,42.4,
Posey III, Buster,457763,2021,34,395,454,18,87,56,19.2,12.3,.304,.499,.390,.889,.281,.469,.379,.370,88.5,8.7,39.4,
Votto, Joey,458015,2021,38,448,533,36,127,77,23.8,14.4,.266,.563,.375,.938,.274,.592,.391,.383,92.9,18.2,53.2,
Gardner, Brett,458731,2021,38,387,461,10,100,60,21.7,13.0,.222,.362,.323,.685,.219,.322,.305,.326,86.7,12.5,33.2,
Andrus, Elvis,462101,2021,33,497,541,3,81,31,15.0,5.7,.243,.320,.292,.612,.273,.375,.270,.324,87.8,8.1,34.8,
Santana, Carlos,467793,2021,35,565,659,19,102,86,15.5,13.1,.214,.342,.319,.660,.244,.422,.294,.345,89.9,12.9,41.9,
Belt, Brandon,474832,2021,33,325,381,29,103,48,27.0,12.6,.274,.597,.378,.975,.243,.526,.406,.354,89.2,23,44.8,
Zimmerman, Ryan,475582,2021,37,255,273,14,77,16,28.2,5.9,.243,.471,.286,.756,.232,.419,.319,.277,91.3,7.4,47.8,
Lowrie, Jed,476704,2021,37,457,512,14,108,49,21.1,9.6,.245,.398,.318,.717,.259,.465,.311,.332,90.7,16.4,45.9,
Brantley Jr., Michael,488726,2021,34,469,508,8,53,33,10.4,6.5,.311,.437,.362,.799,.312,.466,.347,.365,89.5,9.9,42.9,
Gurriel, Yuli,493329,2021,37,530,605,15,68,59,11.2,9.8,.319,.462,.383,.846,.271,.386,.363,.347,89.8,13.4,42,
Rojas, Miguel,500743,2021,32,495,539,9,74,37,13.7,6.9,.265,.392,.321,.713,.249,.345,.311,.308,86.2,11.5,32.9,
Escobar, Eduardo,500871,2021,32,549,599,28,124,48,20.7,8.0,.253,.472,.314,.786,.249,.455,.334,.310,87,20.8,34.5,
Lagares, Juan,501571,2021,32,309,327,6,76,12,23.2,3.7,.236,.372,.263,.635,.244,.373,.274,.274,90.6,8.8,42.9,
Pham, Tommy,502054,2021,33,475,561,15,128,78,22.8,13.9,.229,.383,.340,.724,.258,.443,.318,.366,90.8,7.6,47.6,
Martinez, J.D.,502110,2021,34,570,634,28,150,55,23.7,8.7,.286,.518,.349,.866,.288,.534,.364,.352,92.1,16.9,49.4,
Goldschmidt, Paul,502671,2021,34,603,679,31,136,67,20.0,9.9,.294,.514,.365,.879,.293,.575,.373,.366,92.6,17.1,50.6,
Gonzalez, Marwin,503556,2021,32,276,307,5,78,20,25.4,6.5,.199,.304,.274,.578,.218,.334,.259,.292,87.9,8.9,34.5,
Altuve, Jose,514888,2021,31,601,678,31,91,66,13.4,9.7,.278,.489,.350,.839,.262,.421,.357,.339,87.7,15.6,35,
Hernandez, Cesar,514917,2021,31,570,637,21,135,59,21.2,9.3,.232,.386,.308,.694,.243,.386,.302,.319,87.4,10.7,33.2,
Segura, Jean,516416,2021,31,514,567,14,78,39,13.8,6.9,.290,.436,.347,.783,.266,.396,.338,.328,87.2,5.8,37.4,
Castro, Starlin,516770,2021,31,315,346,3,62,26,17.9,7.5,.283,.375,.332,.707,.272,.412,.309,.328,88.4,9.2,40.1,
Marte, Starling,516782,2021,33,467,526,12,99,43,18.8,8.2,.310,.458,.382,.840,.277,.438,.364,.354,87.6,4.6,39.6,
Culberson, Charlie,518586,2021,32,247,271,5,64,17,23.6,6.3,.243,.381,.292,.672,.229,.321,.292,.284,85.4,10.6,29.8,
Donaldson, Josh,518626,2021,36,457,543,26,114,74,21.0,13.6,.247,.475,.352,.827,.269,.542,.353,.372,94.1,14.6,52.7,
Freeman, Freddie,518692,2021,32,600,695,31,107,85,15.4,12.2,.300,.503,.393,.896,.320,.583,.379,.410,91.4,12,46.1,
Grandal, Yasmani,518735,2021,33,279,375,23,82,87,21.9,23.2,.240,.520,.419,.938,.259,.510,.403,.439,93.1,14.2,53.2,
Heyward, Jason,518792,2021,32,323,353,8,68,27,19.3,7.6,.214,.347,.280,.627,.234,.367,.275,.299,88.2,7.5,42.4,
LeMahieu, DJ,518934,2021,33,597,679,10,94,73,13.8,10.8,.268,.362,.349,.711,.283,.397,.315,.366,90.6,5,43.5,
Moreland, Mitch,519048,2021,36,229,252,10,58,18,23.0,7.1,.227,.415,.286,.701,.226,.395,.300,.286,91,12.9,47.7,
Rizzo, Anthony,519203,2021,32,496,576,22,87,52,15.1,9.0,.248,.440,.344,.783,.261,.434,.339,.356,90.1,14.8,41.1,
Stanton, Giancarlo,519317,2021,32,510,579,35,157,63,27.1,10.9,.273,.516,.354,.870,.262,.498,.370,.346,95.1,10.3,56.3,
Galvis, Freddy,520471,2021,32,356,394,14,77,27,19.5,6.9,.242,.407,.299,.707,.222,.350,.305,.286,86.8,14.1,31.7,
Perez, Salvador,521692,2021,31,620,665,48,170,28,25.6,4.2,.273,.544,.316,.859,.276,.566,.359,.321,93,15.9,56.2,
Flores, Wilmer,527038,2021,30,389,436,18,56,41,12.8,9.4,.262,.447,.335,.782,.238,.400,.337,.314,88.6,18,35.4,
Garcia, Avisail,541645,2021,30,461,515,29,121,38,23.5,7.4,.262,.490,.330,.820,.278,.515,.346,.347,90.4,9.3,46.4,
Villar, Jonathan,542340,2021,30,454,505,18,132,46,26.1,9.1,.249,.416,.321,.737,.235,.388,.320,.310,88,7,34.9,
Ortega, Rafael,542364,2021,30,296,330,11,70,30,21.2,9.1,.291,.463,.358,.820,.252,.381,.355,.325,88.3,18.3,34.6,
Aguilar, Jesus,542583,2021,31,449,510,22,93,46,18.2,9.0,.261,.459,.325,.784,.260,.453,.334,.329,89.6,19,41,
Berti, Jon,542932,2021,31,233,271,4,61,32,22.5,11.8,.210,.313,.310,.623,.233,.325,.282,.334,87.1,1.9,38.3,
Crawford, Brandon,543063,2021,34,483,549,24,105,56,19.1,10.2,.298,.522,.373,.895,.259,.492,.377,.341,88.8,14.7,43.3,
Cron, C.J.,543068,2021,31,470,547,28,117,60,21.4,11.0,.281,.530,.375,.905,.261,.481,.383,.360,88.8,15.8,42,
Dickerson, Alex,543105,2021,31,283,312,13,76,23,24.4,7.4,.233,.420,.304,.725,.261,.446,.313,.330,87.4,17,38.6,
Gomes, Yan,543228,2021,34,349,375,14,78,19,20.8,5.1,.252,.421,.301,.723,.280,.469,.308,.328,89.6,14.1,38.2,
Grossman, Robbie,543257,2021,32,557,671,23,155,98,23.1,14.6,.239,.415,.356,.771,.234,.399,.337,.355,87.8,21.1,34.1,
Harrison, Josh,543281,2021,34,505,558,8,75,31,13.4,5.6,.279,.400,.341,.741,.278,.420,.325,.340,87.2,14.5,32.6,
Hosmer, Eric,543333,2021,32,509,565,12,99,48,17.5,8.5,.269,.395,.336,.731,.268,.407,.319,.337,90.5,3.3,47,
McCann, James,543510,2021,31,375,412,10,115,32,27.9,7.8,.232,.349,.294,.643,.224,.344,.281,.291,87.3,9.3,40.7,
Miller, Brad,543543,2021,32,331,377,20,112,45,29.7,11.9,.227,.453,.321,.774,.247,.460,.331,.339,92.4,12.9,47.9,
Semien, Marcus,543760,2021,31,652,724,45,146,66,20.2,9.1,.265,.538,.334,.873,.245,.455,.368,.317,89.7,20.3,41.3,
Shaw, Travis,543768,2021,31,220,250,9,68,24,27.2,9.6,.200,.373,.284,.657,.215,.388,.289,.300,87.7,19.9,38.7,
Springer III, George,543807,2021,32,299,342,22,79,37,23.1,10.8,.264,.555,.351,.906,.248,.507,.381,.339,89.4,19,41.6,
Vazquez, Christian,543877,2021,31,458,498,6,84,33,16.9,6.6,.258,.352,.307,.659,.235,.337,.289,.287,86.3,13.6,31.1,
Wong, Kolten,543939,2021,31,445,492,14,83,31,16.9,6.3,.272,.447,.335,.783,.251,.382,.337,.317,88.3,12.8,34.8,
Gregorius, Didi,544369,2021,31,368,408,13,67,25,16.4,6.1,.209,.370,.270,.639,.225,.329,.275,.287,86.1,18.3,26.6,
Garcia, Leury,544725,2021,30,415,474,5,97,41,20.5,8.6,.267,.376,.329,.705,.240,.336,.312,.312,86.1,4.3,32.5,
Grichuk, Randal,545341,2021,30,511,545,22,114,27,20.9,5.0,.241,.423,.281,.703,.235,.405,.300,.278,89.8,16.1,41.1,
Stassi, Max,545358,2021,30,282,319,13,101,28,31.7,8.8,.241,.426,.326,.752,.232,.419,.327,.318,89.9,11,42.5,
Herrera, Odubel,546318,2021,30,450,492,13,77,29,15.7,5.9,.260,.416,.309,.724,.252,.378,.312,.306,88.9,7.3,40.1,
Harper, Bryce,547180,2021,29,488,599,35,134,100,22.4,16.7,.309,.615,.427,1.042,.301,.610,.431,.424,92.5,13.3,49.7,
Abreu, Jose,547989,2021,34,566,659,30,143,61,21.7,9.3,.261,.481,.351,.831,.252,.457,.354,.347,92,10.4,49.3,
Diaz, Elias,553869,2021,31,338,371,18,60,30,16.2,8.1,.246,.464,.310,.774,.249,.426,.330,.314,87.1,14.7,37.6,
Narvaez, Omar,553882,2021,29,391,445,11,84,41,18.9,9.2,.266,.402,.342,.743,.235,.369,.322,.318,84.6,17.9,25.6,
Suarez, Eugenio,553993,2021,30,505,574,31,171,56,29.8,9.8,.198,.428,.286,.713,.215,.455,.306,.302,89.1,18.3,39.8,
Polanco, Gregory,570256,2021,30,336,382,11,104,36,27.2,9.4,.208,.354,.283,.637,.232,.411,.275,.310,89.9,15.9,48.3,
Urshela, Gio,570482,2021,30,420,442,14,109,20,24.7,4.5,.267,.419,.301,.720,.252,.415,.309,.288,88.9,7.5,42,
Schoop, Jonathan,570731,2021,30,623,674,22,133,37,19.7,5.5,.278,.435,.320,.755,.258,.404,.324,.305,88.1,10.8,40.2,
Arenado, Nolan,571448,2021,30,593,653,34,96,50,14.7,7.7,.255,.494,.312,.807,.248,.420,.336,.308,89,20,37.5,
Barnhart, Tucker,571466,2021,30,348,388,7,100,29,25.8,7.5,.247,.368,.317,.685,.204,.313,.300,.279,87.1,15.5,31.1,
Farmer, Kyle,571657,2021,31,483,529,16,97,22,18.3,4.2,.263,.416,.316,.732,.252,.383,.316,.306,87.2,15.8,31.9,
Goodwin, Brian,571718,2021,31,235,271,8,58,33,21.4,12.2,.221,.374,.317,.692,.248,.396,.306,.342,88.5,16.9,31.8,
